Stationscode;Datum;"Feinstaub (PM₁₀) stündlich gleitendes Tagesmittel in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";Luftqualitätsindex
DEHE005;"'31.12.2016 24:00'";29;1;42;mäßig
DEHE005;"'01.01.2017 01:00'";33;2;47;mäßig
DEHE005;"'01.01.2017 02:00'";37;2;46;mäßig
DEHE005;"'01.01.2017 03:00'";39;2;43;mäßig
DEHE005;"'01.01.2017 04:00'";41;3;42;mäßig
DEHE005;"'01.01.2017 05:00'";42;3;41;mäßig
DEHE005;"'01.01.2017 06:00'";43;7;36;mäßig
DEHE005;"'01.01.2017 07:00'";43;7;36;mäßig
DEHE005;"'01.01.2017 08:00'";44;9;35;mäßig
DEHE005;"'01.01.2017 09:00'";46;12;29;mäßig
DEHE005;"'01.01.2017 10:00'";47;16;28;mäßig
DEHE005;"'01.01.2017 11:00'";48;19;27;mäßig
DEHE005;"'01.01.2017 12:00'";49;15;33;mäßig
DEHE005;"'01.01.2017 13:00'";50;19;30;mäßig
DEHE005;"'01.01.2017 14:00'";50;16;35;mäßig
DEHE005;"'01.01.2017 15:00'";51;15;40;schlecht
DEHE005;"'01.01.2017 16:00'";51;19;39;schlecht
DEHE005;"'01.01.2017 17:00'";52;12;43;schlecht
DEHE005;"'01.01.2017 18:00'";52;13;43;schlecht
DEHE005;"'01.01.2017 19:00'";53;11;49;schlecht
DEHE005;"'01.01.2017 20:00'";53;13;43;schlecht
DEHE005;"'01.01.2017 21:00'";53;12;42;schlecht
DEHE005;"'01.01.2017 22:00'";53;19;32;schlecht
DEHE005;"'01.01.2017 23:00'";53;21;30;schlecht
DEHE005;"'01.01.2017 24:00'";52;24;28;schlecht
DEHE005;"'02.01.2017 01:00'";47;27;25;mäßig
DEHE005;"'02.01.2017 02:00'";44;23;25;mäßig
DEHE005;"'02.01.2017 03:00'";41;28;20;mäßig
DEHE005;"'02.01.2017 04:00'";39;27;22;mäßig
DEHE005;"'02.01.2017 05:00'";37;31;21;mäßig
DEHE005;"'02.01.2017 06:00'";36;23;32;mäßig
DEHE005;"'02.01.2017 07:00'";34;12;47;mäßig
DEHE005;"'02.01.2017 08:00'";32;8;56;mäßig
DEHE005;"'02.01.2017 09:00'";31;7;58;mäßig
DEHE005;"'02.01.2017 10:00'";29;7;47;mäßig
DEHE005;"'02.01.2017 11:00'";28;7;49;mäßig
DEHE005;"'02.01.2017 12:00'";26;7;43;mäßig
DEHE005;"'02.01.2017 13:00'";25;13;37;gut
DEHE005;"'02.01.2017 14:00'";24;23;29;gut
DEHE005;"'02.01.2017 15:00'";23;19;41;mäßig
DEHE005;"'02.01.2017 16:00'";22;18;49;mäßig
DEHE005;"'02.01.2017 17:00'";21;17;53;mäßig
DEHE005;"'02.01.2017 18:00'";20;15;55;mäßig
DEHE005;"'02.01.2017 19:00'";19;12;58;mäßig
DEHE005;"'02.01.2017 20:00'";19;16;47;mäßig
DEHE005;"'02.01.2017 21:00'";19;9;58;mäßig
DEHE005;"'02.01.2017 22:00'";19;12;50;mäßig
DEHE005;"'02.01.2017 23:00'";19;9;56;mäßig
DEHE005;"'02.01.2017 24:00'";19;10;51;mäßig
DEHE005;"'03.01.2017 01:00'";20;16;45;mäßig
DEHE005;"'03.01.2017 02:00'";20;18;40;gut
DEHE005;"'03.01.2017 03:00'";20;18;37;gut
DEHE005;"'03.01.2017 04:00'";20;12;38;gut
DEHE005;"'03.01.2017 05:00'";20;7;43;mäßig
DEHE005;"'03.01.2017 06:00'";20;9;42;mäßig
DEHE005;"'03.01.2017 07:00'";20;4;51;mäßig
DEHE005;"'03.01.2017 08:00'";20;3;56;mäßig
DEHE005;"'03.01.2017 09:00'";21;4;56;mäßig
DEHE005;"'03.01.2017 10:00'";21;6;51;mäßig
DEHE005;"'03.01.2017 11:00'";21;8;50;mäßig
DEHE005;"'03.01.2017 12:00'";21;11;45;mäßig
DEHE005;"'03.01.2017 13:00'";21;17;41;mäßig
DEHE005;"'03.01.2017 14:00'";21;20;38;gut
DEHE005;"'03.01.2017 15:00'";21;24;43;mäßig
DEHE005;"'03.01.2017 16:00'";21;16;51;mäßig
DEHE005;"'03.01.2017 17:00'";20;14;58;mäßig
DEHE005;"'03.01.2017 18:00'";20;20;49;mäßig
DEHE005;"'03.01.2017 19:00'";19;27;40;gut
DEHE005;"'03.01.2017 20:00'";19;31;34;gut
DEHE005;"'03.01.2017 21:00'";18;30;32;gut
DEHE005;"'03.01.2017 22:00'";17;37;23;gut
DEHE005;"'03.01.2017 23:00'";16;36;23;gut
DEHE005;"'03.01.2017 24:00'";15;35;24;gut
DEHE005;"'04.01.2017 01:00'";15;34;23;gut
DEHE005;"'04.01.2017 02:00'";14;42;15;"sehr gut"
DEHE005;"'04.01.2017 03:00'";14;39;15;"sehr gut"
DEHE005;"'04.01.2017 04:00'";13;29;23;gut
DEHE005;"'04.01.2017 05:00'";13;21;33;gut
DEHE005;"'04.01.2017 06:00'";13;23;27;gut
DEHE005;"'04.01.2017 07:00'";12;17;33;gut
DEHE005;"'04.01.2017 08:00'";12;14;37;gut
DEHE005;"'04.01.2017 09:00'";11;16;38;gut
DEHE005;"'04.01.2017 10:00'";11;17;37;gut
DEHE005;"'04.01.2017 11:00'";10;19;39;gut
DEHE005;"'04.01.2017 12:00'";10;44;25;gut
DEHE005;"'04.01.2017 13:00'";9;56;22;gut
DEHE005;"'04.01.2017 14:00'";9;57;22;gut
DEHE005;"'04.01.2017 15:00'";9;55;26;gut
DEHE005;"'04.01.2017 16:00'";9;55;24;gut
DEHE005;"'04.01.2017 17:00'";9;32;53;mäßig
DEHE005;"'04.01.2017 18:00'";9;36;51;mäßig
DEHE005;"'04.01.2017 19:00'";9;30;55;mäßig
DEHE005;"'04.01.2017 20:00'";9;42;36;gut
DEHE005;"'04.01.2017 21:00'";9;41;33;gut
DEHE005;"'04.01.2017 22:00'";9;46;25;gut
DEHE005;"'04.01.2017 23:00'";9;57;20;"sehr gut"
DEHE005;"'04.01.2017 24:00'";8;63;11;gut
DEHE005;"'05.01.2017 01:00'";8;55;15;"sehr gut"
DEHE005;"'05.01.2017 02:00'";8;40;28;gut
DEHE005;"'05.01.2017 03:00'";8;36;29;gut
DEHE005;"'05.01.2017 04:00'";8;41;24;gut
DEHE005;"'05.01.2017 05:00'";8;44;20;"sehr gut"
DEHE005;"'05.01.2017 06:00'";9;38;28;gut
DEHE005;"'05.01.2017 07:00'";9;33;38;gut
DEHE005;"'05.01.2017 08:00'";10;16;60;mäßig
DEHE005;"'05.01.2017 09:00'";10;44;35;gut
DEHE005;"'05.01.2017 10:00'";10;44;32;gut
DEHE005;"'05.01.2017 11:00'";10;49;26;gut
DEHE005;"'05.01.2017 12:00'";10;50;21;gut
DEHE005;"'05.01.2017 13:00'";9;46;24;gut
DEHE005;"'05.01.2017 14:00'";9;50;19;"sehr gut"
DEHE005;"'05.01.2017 15:00'";9;47;23;gut
DEHE005;"'05.01.2017 16:00'";9;45;26;gut
DEHE005;"'05.01.2017 17:00'";9;33;39;gut
DEHE005;"'05.01.2017 18:00'";9;26;46;mäßig
DEHE005;"'05.01.2017 19:00'";9;28;38;gut
DEHE005;"'05.01.2017 20:00'";9;23;45;mäßig
DEHE005;"'05.01.2017 21:00'";9;30;35;gut
DEHE005;"'05.01.2017 22:00'";9;23;42;mäßig
DEHE005;"'05.01.2017 23:00'";10;16;49;mäßig
DEHE005;"'05.01.2017 24:00'";10;11;54;mäßig
DEHE005;"'06.01.2017 01:00'";10;23;37;gut
DEHE005;"'06.01.2017 02:00'";10;30;29;gut
DEHE005;"'06.01.2017 03:00'";10;20;38;gut
DEHE005;"'06.01.2017 04:00'";10;15;43;mäßig
DEHE005;"'06.01.2017 05:00'";10;7;50;mäßig
DEHE005;"'06.01.2017 06:00'";10;4;51;mäßig
DEHE005;"'06.01.2017 07:00'";10;1;56;mäßig
DEHE005;"'06.01.2017 08:00'";10;2;60;mäßig
DEHE005;"'06.01.2017 09:00'";10;2;62;mäßig
DEHE005;"'06.01.2017 10:00'";11;5;62;mäßig
DEHE005;"'06.01.2017 11:00'";12;10;59;mäßig
DEHE005;"'06.01.2017 12:00'";12;26;45;mäßig
DEHE005;"'06.01.2017 13:00'";12;27;46;mäßig
DEHE005;"'06.01.2017 14:00'";13;32;42;mäßig
DEHE005;"'06.01.2017 15:00'";13;24;54;mäßig
DEHE005;"'06.01.2017 16:00'";14;15;62;mäßig
DEHE005;"'06.01.2017 17:00'";14;11;68;mäßig
DEHE005;"'06.01.2017 18:00'";15;3;82;mäßig
DEHE005;"'06.01.2017 19:00'";16;2;85;mäßig
DEHE005;"'06.01.2017 20:00'";16;2;84;mäßig
DEHE005;"'06.01.2017 21:00'";18;3;79;mäßig
DEHE005;"'06.01.2017 22:00'";19;3;71;mäßig
DEHE005;"'06.01.2017 23:00'";20;2;76;mäßig
DEHE005;"'06.01.2017 24:00'";21;2;81;mäßig
DEHE005;"'07.01.2017 01:00'";22;2;75;mäßig
DEHE005;"'07.01.2017 02:00'";23;2;70;mäßig
DEHE005;"'07.01.2017 03:00'";24;2;65;mäßig
DEHE005;"'07.01.2017 04:00'";24;0.9;63;mäßig
DEHE005;"'07.01.2017 05:00'";25;1;64;mäßig
DEHE005;"'07.01.2017 06:00'";25;1;62;mäßig
DEHE005;"'07.01.2017 07:00'";26;0.6;59;mäßig
DEHE005;"'07.01.2017 08:00'";26;0.6;59;mäßig
DEHE005;"'07.01.2017 09:00'";27;1;72;mäßig
DEHE005;"'07.01.2017 10:00'";27;3;71;mäßig
DEHE005;"'07.01.2017 11:00'";28;4;67;mäßig
DEHE005;"'07.01.2017 12:00'";29;8;58;mäßig
DEHE005;"'07.01.2017 13:00'";30;11;53;mäßig
DEHE005;"'07.01.2017 14:00'";31;12;54;mäßig
DEHE005;"'07.01.2017 15:00'";32;12;54;mäßig
DEHE005;"'07.01.2017 16:00'";32;9;52;mäßig
DEHE005;"'07.01.2017 17:00'";33;6;58;mäßig
DEHE005;"'07.01.2017 18:00'";34;1;63;mäßig
DEHE005;"'07.01.2017 19:00'";34;2;58;mäßig
DEHE005;"'07.01.2017 20:00'";35;4;56;mäßig
DEHE005;"'07.01.2017 21:00'";36;2;58;mäßig
DEHE005;"'07.01.2017 22:00'";37;3;54;mäßig
DEHE005;"'07.01.2017 23:00'";37;3;51;mäßig
DEHE005;"'07.01.2017 24:00'";38;6;47;mäßig
DEHE005;"'08.01.2017 01:00'";38;7;46;mäßig
DEHE005;"'08.01.2017 02:00'";38;6;47;mäßig
DEHE005;"'08.01.2017 03:00'";39;11;37;mäßig
DEHE005;"'08.01.2017 04:00'";39;12;31;mäßig
DEHE005;"'08.01.2017 05:00'";40;12;30;mäßig
DEHE005;"'08.01.2017 06:00'";40;7;35;mäßig
DEHE005;"'08.01.2017 07:00'";40;8;32;mäßig
DEHE005;"'08.01.2017 08:00'";40;5;36;mäßig
DEHE005;"'08.01.2017 09:00'";41;5;35;mäßig
DEHE005;"'08.01.2017 10:00'";41;7;34;mäßig
DEHE005;"'08.01.2017 11:00'";41;7;35;mäßig
DEHE005;"'08.01.2017 12:00'";41;6;37;mäßig
DEHE005;"'08.01.2017 13:00'";40;6;41;mäßig
DEHE005;"'08.01.2017 14:00'";40;6;42;mäßig
DEHE005;"'08.01.2017 15:00'";40;4;44;mäßig
DEHE005;"'08.01.2017 16:00'";40;2;56;mäßig
DEHE005;"'08.01.2017 17:00'";40;0.6;51;mäßig
DEHE005;"'08.01.2017 18:00'";40;1;52;mäßig
DEHE005;"'08.01.2017 19:00'";40;2;53;mäßig
DEHE005;"'08.01.2017 20:00'";40;2;50;mäßig
DEHE005;"'08.01.2017 21:00'";39;2;49;mäßig
DEHE005;"'08.01.2017 22:00'";39;2;51;mäßig
DEHE005;"'08.01.2017 23:00'";38;2;45;mäßig
DEHE005;"'08.01.2017 24:00'";38;2;44;mäßig
DEHE005;"'09.01.2017 01:00'";38;1;43;mäßig
DEHE005;"'09.01.2017 02:00'";39;2;41;mäßig
DEHE005;"'09.01.2017 03:00'";39;2;39;mäßig
DEHE005;"'09.01.2017 04:00'";40;2;38;mäßig
DEHE005;"'09.01.2017 05:00'";40;2;37;mäßig
DEHE005;"'09.01.2017 06:00'";41;2;39;mäßig
DEHE005;"'09.01.2017 07:00'";42;2;43;mäßig
DEHE005;"'09.01.2017 08:00'";43;2;48;mäßig
DEHE005;"'09.01.2017 09:00'";44;2;49;mäßig
DEHE005;"'09.01.2017 10:00'";44;2;49;mäßig
DEHE005;"'09.01.2017 11:00'";45;3;46;mäßig
DEHE005;"'09.01.2017 12:00'";46;3;46;mäßig
DEHE005;"'09.01.2017 13:00'";47;3;44;mäßig
DEHE005;"'09.01.2017 14:00'";47;3;49;mäßig
DEHE005;"'09.01.2017 15:00'";48;3;54;mäßig
DEHE005;"'09.01.2017 16:00'";48;2;57;mäßig
DEHE005;"'09.01.2017 17:00'";48;2;55;mäßig
DEHE005;"'09.01.2017 18:00'";49;2;53;mäßig
DEHE005;"'09.01.2017 19:00'";48;2;51;mäßig
DEHE005;"'09.01.2017 20:00'";48;2;55;mäßig
DEHE005;"'09.01.2017 21:00'";47;2;54;mäßig
DEHE005;"'09.01.2017 22:00'";47;2;56;mäßig
DEHE005;"'09.01.2017 23:00'";47;2;59;mäßig
DEHE005;"'09.01.2017 24:00'";46;2;58;mäßig
DEHE005;"'10.01.2017 01:00'";45;3;54;mäßig
DEHE005;"'10.01.2017 02:00'";45;9;48;mäßig
DEHE005;"'10.01.2017 03:00'";44;15;42;mäßig
DEHE005;"'10.01.2017 04:00'";42;29;31;mäßig
DEHE005;"'10.01.2017 05:00'";41;33;31;mäßig
DEHE005;"'10.01.2017 06:00'";39;36;31;mäßig
DEHE005;"'10.01.2017 07:00'";37;21;50;mäßig
DEHE005;"'10.01.2017 08:00'";36;7;70;mäßig
DEHE005;"'10.01.2017 09:00'";35;2;75;mäßig
DEHE005;"'10.01.2017 10:00'";33;8;64;mäßig
DEHE005;"'10.01.2017 11:00'";32;8;68;mäßig
DEHE005;"'10.01.2017 12:00'";31;8;72;mäßig
DEHE005;"'10.01.2017 13:00'";29;10;67;mäßig
DEHE005;"'10.01.2017 14:00'";28;20;54;mäßig
DEHE005;"'10.01.2017 15:00'";27;14;60;mäßig
DEHE005;"'10.01.2017 16:00'";26;12;63;mäßig
DEHE005;"'10.01.2017 17:00'";25;5;75;mäßig
DEHE005;"'10.01.2017 18:00'";25;0.9;83;mäßig
DEHE005;"'10.01.2017 19:00'";24;1;83;mäßig
DEHE005;"'10.01.2017 20:00'";24;2;75;mäßig
DEHE005;"'10.01.2017 21:00'";24;1;72;mäßig
DEHE005;"'10.01.2017 22:00'";24;0.9;67;mäßig
DEHE005;"'10.01.2017 23:00'";24;1;66;mäßig
DEHE005;"'10.01.2017 24:00'";24;2;63;mäßig
DEHE005;"'11.01.2017 01:00'";24;2;63;mäßig
DEHE005;"'11.01.2017 02:00'";24;1;51;mäßig
DEHE005;"'11.01.2017 03:00'";24;2;52;mäßig
DEHE005;"'11.01.2017 04:00'";25;2;64;mäßig
DEHE005;"'11.01.2017 05:00'";26;2;61;mäßig
DEHE005;"'11.01.2017 06:00'";27;3;55;mäßig
DEHE005;"'11.01.2017 07:00'";29;1;55;mäßig
DEHE005;"'11.01.2017 08:00'";30;2;57;mäßig
DEHE005;"'11.01.2017 09:00'";30;2;56;mäßig
DEHE005;"'11.01.2017 10:00'";31;3;53;mäßig
DEHE005;"'11.01.2017 11:00'";32;4;52;mäßig
DEHE005;"'11.01.2017 12:00'";32;12;44;mäßig
DEHE005;"'11.01.2017 13:00'";32;16;45;mäßig
DEHE005;"'11.01.2017 14:00'";32;20;45;mäßig
DEHE005;"'11.01.2017 15:00'";31;21;47;mäßig
DEHE005;"'11.01.2017 16:00'";31;19;50;mäßig
DEHE005;"'11.01.2017 17:00'";30;12;52;mäßig
DEHE005;"'11.01.2017 18:00'";29;7;54;mäßig
DEHE005;"'11.01.2017 19:00'";28;6;56;mäßig
DEHE005;"'11.01.2017 20:00'";27;14;51;mäßig
DEHE005;"'11.01.2017 21:00'";26;38;43;mäßig
DEHE005;"'11.01.2017 22:00'";25;38;42;mäßig
DEHE005;"'11.01.2017 23:00'";24;47;34;gut
DEHE005;"'11.01.2017 24:00'";23;45;31;gut
DEHE005;"'12.01.2017 01:00'";22;55;20;gut
DEHE005;"'12.01.2017 02:00'";21;55;20;gut
DEHE005;"'12.01.2017 03:00'";20;52;21;gut
DEHE005;"'12.01.2017 04:00'";19;45;32;gut
DEHE005;"'12.01.2017 05:00'";18;50;25;gut
DEHE005;"'12.01.2017 06:00'";17;42;32;gut
DEHE005;"'12.01.2017 07:00'";15;33;44;mäßig
DEHE005;"'12.01.2017 08:00'";14;23;56;mäßig
DEHE005;"'12.01.2017 09:00'";13;17;63;mäßig
DEHE005;"'12.01.2017 10:00'";12;18;58;mäßig
DEHE005;"'12.01.2017 11:00'";12;23;50;mäßig
DEHE005;"'12.01.2017 12:00'";12;24;51;mäßig
DEHE005;"'12.01.2017 13:00'";12;26;49;mäßig
DEHE005;"'12.01.2017 14:00'";12;30;44;mäßig
DEHE005;"'12.01.2017 15:00'";12;34;42;mäßig
DEHE005;"'12.01.2017 16:00'";13;23;54;mäßig
DEHE005;"'12.01.2017 17:00'";13;25;54;mäßig
DEHE005;"'12.01.2017 18:00'";13;26;51;mäßig
DEHE005;"'12.01.2017 19:00'";14;26;47;mäßig
DEHE005;"'12.01.2017 20:00'";15;21;54;mäßig
DEHE005;"'12.01.2017 21:00'";15;25;50;mäßig
DEHE005;"'12.01.2017 22:00'";15;31;39;gut
DEHE005;"'12.01.2017 23:00'";15;42;27;gut
DEHE005;"'12.01.2017 24:00'";15;48;18;"sehr gut"
DEHE005;"'13.01.2017 01:00'";15;49;15;"sehr gut"
DEHE005;"'13.01.2017 02:00'";15;49;24;gut
DEHE005;"'13.01.2017 03:00'";14;59;16;"sehr gut"
DEHE005;"'13.01.2017 04:00'";14;60;8;"sehr gut"
DEHE005;"'13.01.2017 05:00'";14;63;6;gut
DEHE005;"'13.01.2017 06:00'";13;54;14;"sehr gut"
DEHE005;"'13.01.2017 07:00'";13;46;22;gut
DEHE005;"'13.01.2017 08:00'";12;43;29;gut
DEHE005;"'13.01.2017 09:00'";11;38;37;gut
DEHE005;"'13.01.2017 10:00'";11;40;33;gut
DEHE005;"'13.01.2017 11:00'";10;38;37;gut
DEHE005;"'13.01.2017 12:00'";9;37;38;gut
DEHE005;"'13.01.2017 13:00'";9;42;35;gut
DEHE005;"'13.01.2017 14:00'";8;36;45;mäßig
DEHE005;"'13.01.2017 15:00'";8;33;45;mäßig
DEHE005;"'13.01.2017 16:00'";8;32;47;mäßig
DEHE005;"'13.01.2017 17:00'";7;27;54;mäßig
DEHE005;"'13.01.2017 18:00'";7;29;50;mäßig
DEHE005;"'13.01.2017 19:00'";6;26;57;mäßig
DEHE005;"'13.01.2017 20:00'";6;24;57;mäßig
DEHE005;"'13.01.2017 21:00'";6;37;39;gut
DEHE005;"'13.01.2017 22:00'";5;34;38;gut
DEHE005;"'13.01.2017 23:00'";5;30;39;gut
DEHE005;"'13.01.2017 24:00'";6;30;35;gut
DEHE005;"'14.01.2017 01:00'";6;26;37;gut
DEHE005;"'14.01.2017 02:00'";6;22;39;gut
DEHE005;"'14.01.2017 03:00'";7;33;27;gut
DEHE005;"'14.01.2017 04:00'";7;52;17;"sehr gut"
DEHE005;"'14.01.2017 05:00'";8;65;10;gut
DEHE005;"'14.01.2017 06:00'";8;66;12;gut
DEHE005;"'14.01.2017 07:00'";9;68;10;gut
DEHE005;"'14.01.2017 08:00'";9;68;12;gut
DEHE005;"'14.01.2017 09:00'";10;66;17;gut
DEHE005;"'14.01.2017 10:00'";10;59;22;gut
DEHE005;"'14.01.2017 11:00'";11;56;24;gut
DEHE005;"'14.01.2017 12:00'";11;58;23;gut
DEHE005;"'14.01.2017 13:00'";11;59;23;gut
DEHE005;"'14.01.2017 14:00'";11;56;26;gut
DEHE005;"'14.01.2017 15:00'";11;43;44;mäßig
DEHE005;"'14.01.2017 16:00'";12;42;43;mäßig
DEHE005;"'14.01.2017 17:00'";12;39;45;mäßig
DEHE005;"'14.01.2017 18:00'";12;35;47;mäßig
DEHE005;"'14.01.2017 19:00'";12;39;39;gut
DEHE005;"'14.01.2017 20:00'";12;43;31;gut
DEHE005;"'14.01.2017 21:00'";12;39;32;gut
DEHE005;"'14.01.2017 22:00'";12;51;21;gut
DEHE005;"'14.01.2017 23:00'";12;46;31;gut
DEHE005;"'14.01.2017 24:00'";12;44;31;gut
DEHE005;"'15.01.2017 01:00'";12;51;24;gut
DEHE005;"'15.01.2017 02:00'";11;54;18;"sehr gut"
DEHE005;"'15.01.2017 03:00'";11;48;20;"sehr gut"
DEHE005;"'15.01.2017 04:00'";11;47;22;gut
DEHE005;"'15.01.2017 05:00'";11;49;21;gut
DEHE005;"'15.01.2017 06:00'";11;46;24;gut
DEHE005;"'15.01.2017 07:00'";11;51;18;"sehr gut"
DEHE005;"'15.01.2017 08:00'";11;58;13;"sehr gut"
DEHE005;"'15.01.2017 09:00'";11;46;23;gut
DEHE005;"'15.01.2017 10:00'";11;40;31;gut
DEHE005;"'15.01.2017 11:00'";10;43;30;gut
DEHE005;"'15.01.2017 12:00'";10;59;15;"sehr gut"
DEHE005;"'15.01.2017 13:00'";10;58;17;"sehr gut"
DEHE005;"'15.01.2017 14:00'";10;58;19;"sehr gut"
DEHE005;"'15.01.2017 15:00'";10;58;20;"sehr gut"
DEHE005;"'15.01.2017 16:00'";10;56;24;gut
DEHE005;"'15.01.2017 17:00'";10;47;36;gut
DEHE005;"'15.01.2017 18:00'";10;41;42;mäßig
DEHE005;"'15.01.2017 19:00'";11;36;44;mäßig
DEHE005;"'15.01.2017 20:00'";11;44;33;gut
DEHE005;"'15.01.2017 21:00'";11;39;36;gut
DEHE005;"'15.01.2017 22:00'";12;30;41;mäßig
DEHE005;"'15.01.2017 23:00'";12;15;57;mäßig
DEHE005;"'15.01.2017 24:00'";13;33;32;gut
DEHE005;"'16.01.2017 01:00'";13;40;22;gut
DEHE005;"'16.01.2017 02:00'";14;17;45;mäßig
DEHE005;"'16.01.2017 03:00'";14;3;60;mäßig
DEHE005;"'16.01.2017 04:00'";15;4;56;mäßig
DEHE005;"'16.01.2017 05:00'";15;4;53;mäßig
DEHE005;"'16.01.2017 06:00'";15;2;60;mäßig
DEHE005;"'16.01.2017 07:00'";16;2;65;mäßig
DEHE005;"'16.01.2017 08:00'";17;3;59;mäßig
DEHE005;"'16.01.2017 09:00'";18;3;68;mäßig
DEHE005;"'16.01.2017 10:00'";19;5;67;mäßig
DEHE005;"'16.01.2017 11:00'";19;12;61;mäßig
DEHE005;"'16.01.2017 12:00'";20;24;49;mäßig
DEHE005;"'16.01.2017 13:00'";20;40;33;gut
DEHE005;"'16.01.2017 14:00'";20;42;30;gut
DEHE005;"'16.01.2017 15:00'";21;43;30;gut
DEHE005;"'16.01.2017 16:00'";21;34;41;mäßig
DEHE005;"'16.01.2017 17:00'";21;28;48;mäßig
DEHE005;"'16.01.2017 18:00'";21;20;54;mäßig
DEHE005;"'16.01.2017 19:00'";21;9;69;mäßig
DEHE005;"'16.01.2017 20:00'";21;3;81;mäßig
DEHE005;"'16.01.2017 21:00'";21;2;89;mäßig
DEHE005;"'16.01.2017 22:00'";21;2;81;mäßig
DEHE005;"'16.01.2017 23:00'";21;11;61;mäßig
DEHE005;"'16.01.2017 24:00'";21;30;32;gut
DEHE005;"'17.01.2017 01:00'";20;36;24;gut
DEHE005;"'17.01.2017 02:00'";20;41;19;"sehr gut"
DEHE005;"'17.01.2017 03:00'";20;46;15;"sehr gut"
DEHE005;"'17.01.2017 04:00'";19;49;15;"sehr gut"
DEHE005;"'17.01.2017 05:00'";18;52;15;"sehr gut"
DEHE005;"'17.01.2017 06:00'";17;47;22;gut
DEHE005;"'17.01.2017 07:00'";16;41;28;gut
DEHE005;"'17.01.2017 08:00'";15;33;42;mäßig
DEHE005;"'17.01.2017 09:00'";14;23;53;mäßig
DEHE005;"'17.01.2017 10:00'";14;34;40;gut
DEHE005;"'17.01.2017 11:00'";13;47;35;gut
DEHE005;"'17.01.2017 12:00'";12;51;30;gut
DEHE005;"'17.01.2017 13:00'";12;52;24;gut
DEHE005;"'17.01.2017 14:00'";12;54;22;gut
DEHE005;"'17.01.2017 15:00'";12;53;24;gut
DEHE005;"'17.01.2017 16:00'";11;50;28;gut
DEHE005;"'17.01.2017 17:00'";11;41;38;gut
DEHE005;"'17.01.2017 18:00'";11;29;50;mäßig
DEHE005;"'17.01.2017 19:00'";11;23;55;mäßig
DEHE005;"'17.01.2017 20:00'";11;16;61;mäßig
DEHE005;"'17.01.2017 21:00'";11;22;52;mäßig
DEHE005;"'17.01.2017 22:00'";10;32;40;gut
DEHE005;"'17.01.2017 23:00'";10;25;49;mäßig
DEHE005;"'17.01.2017 24:00'";10;33;35;gut
DEHE005;"'18.01.2017 01:00'";10;32;35;gut
DEHE005;"'18.01.2017 02:00'";10;36;27;gut
DEHE005;"'18.01.2017 03:00'";10;40;21;gut
DEHE005;"'18.01.2017 04:00'";11;47;16;"sehr gut"
DEHE005;"'18.01.2017 05:00'";11;48;15;"sehr gut"
DEHE005;"'18.01.2017 06:00'";11;41;22;gut
DEHE005;"'18.01.2017 07:00'";12;30;36;gut
DEHE005;"'18.01.2017 08:00'";12;18;51;mäßig
DEHE005;"'18.01.2017 09:00'";13;13;58;mäßig
DEHE005;"'18.01.2017 10:00'";13;32;34;gut
DEHE005;"'18.01.2017 11:00'";13;34;33;gut
DEHE005;"'18.01.2017 12:00'";14;41;25;gut
DEHE005;"'18.01.2017 13:00'";14;41;26;gut
DEHE005;"'18.01.2017 14:00'";15;43;25;gut
DEHE005;"'18.01.2017 15:00'";15;42;26;gut
DEHE005;"'18.01.2017 16:00'";16;41;29;gut
DEHE005;"'18.01.2017 17:00'";16;32;41;mäßig
DEHE005;"'18.01.2017 18:00'";17;18;54;mäßig
DEHE005;"'18.01.2017 19:00'";17;21;49;mäßig
DEHE005;"'18.01.2017 20:00'";18;19;50;mäßig
DEHE005;"'18.01.2017 21:00'";18;9;56;mäßig
DEHE005;"'18.01.2017 22:00'";19;5;61;mäßig
DEHE005;"'18.01.2017 23:00'";19;17;48;mäßig
DEHE005;"'18.01.2017 24:00'";20;23;40;gut
DEHE005;"'19.01.2017 01:00'";20;25;34;gut
DEHE005;"'19.01.2017 02:00'";21;20;36;gut
DEHE005;"'19.01.2017 03:00'";21;18;40;gut
DEHE005;"'19.01.2017 04:00'";21;28;33;gut
DEHE005;"'19.01.2017 05:00'";21;22;37;gut
DEHE005;"'19.01.2017 06:00'";22;12;43;mäßig
DEHE005;"'19.01.2017 07:00'";23;2;55;mäßig
DEHE005;"'19.01.2017 08:00'";23;1;66;mäßig
DEHE005;"'19.01.2017 09:00'";24;2;-;gut
DEHE005;"'19.01.2017 10:00'";24;5;60;mäßig
DEHE005;"'19.01.2017 11:00'";25;10;51;mäßig
DEHE005;"'19.01.2017 12:00'";25;14;55;mäßig
DEHE005;"'19.01.2017 13:00'";25;23;45;mäßig
DEHE005;"'19.01.2017 14:00'";25;27;43;mäßig
DEHE005;"'19.01.2017 15:00'";25;30;42;mäßig
DEHE005;"'19.01.2017 16:00'";25;23;51;mäßig
DEHE005;"'19.01.2017 17:00'";25;13;69;mäßig
DEHE005;"'19.01.2017 18:00'";25;2;84;mäßig
DEHE005;"'19.01.2017 19:00'";25;1;84;mäßig
DEHE005;"'19.01.2017 20:00'";25;2;83;mäßig
